approach_displacement	approach_deflection	retract_displacement	retract_deflection
31.96503	-6.220173999999999	32.09229	-4.140018
32.04616	-6.3013509999999995	32.17342	-4.190753
32.12729	-6.19988	32.25455	-4.200901
32.20842	-6.260762	32.33568	-4.292225
32.28955	-6.3013509999999995	32.41681	-4.424137
32.37069	-6.250615	32.49794	-4.434284
32.45182	-6.382528	32.57907	-4.403843
32.53295	-6.372381000000001	32.6602	-4.495167
32.61408	-6.3013509999999995	32.74133	-4.566196
32.69521	-6.433264	32.82246	-4.596638
32.77634	-6.565176	32.90359	-4.6067849999999995
32.85747	-6.656499999999999	32.98473	-4.647373
32.9386	-6.676794	33.06586	-4.708256
33.01973	-6.595617	33.14699	-4.8300209999999995
33.10086	-6.544882	33.22812	-4.911198
33.182	-6.656499999999999	33.30925	-4.901051
33.26313	-6.7478229999999995	33.39038	-4.992375
33.34426	-6.8391470000000005	33.47151	-4.911198
33.42539	-6.676794	33.55264	-4.911198
33.50652	-6.788411999999999	33.63377	-5.002522
33.58765	-6.818853000000001	33.7149	-4.992375
33.66878	-6.879736	33.79604	-4.921345
33.74991	-6.991354	33.87717	-4.850315
33.83104	-7.052237	33.9583	-4.840168
33.91217	-7.092825	34.03943	-4.880757
33.99331	-7.001500999999999	34.12056	-4.921345
34.07444	-7.133414	34.20169	-4.992375
34.15557	-7.174002000000001	34.28282	-5.012669
34.2367	-7.11312	34.36395	-5.022816000000001
34.31783	-7.204443	34.44508	-5.0532569999999994
34.39896	-7.346503	34.52621	-5.083698999999999
34.48009	-7.255179000000001	34.60735	-5.225758
34.56122	-7.326208	34.68848	-5.235905
34.64235	-7.366797	34.76961	-5.388112
34.72348	-7.397238	34.85074	-5.418553
34.80462	-7.468268	34.93187	-5.347523
34.88575	-7.559592	35.013	-5.459141
34.96688	-7.630621	35.09413	-5.49973
35.04801	-7.508856	35.17526	-5.530171
35.12914	-7.60018	35.25639	-5.57076
35.21027	-7.650916	35.33752	-5.601201
35.2914	-7.691504	35.41866	-5.662084
35.37253	-7.772681	35.49979	-5.672231
35.45366	-7.701651000000001	35.58092	-5.74326
35.53479	-7.823416999999999	35.66205	-5.8548789999999995
35.61592	-7.914741	35.74318	-5.8345839999999995
35.69706	-7.894446	35.82431	-5.88532
35.77819	-8.046653	35.90544	-5.915761
35.85932	-8.12783	35.98657	-6.047673
35.94045	-7.924887999999999	36.0677	-6.037526000000001
36.02158	-7.975623000000001	36.14883	-6.118703
36.10271	-8.107535	36.22997	-6.210027
36.183839999999996	-8.117682	36.3111	-6.169438
36.26497	-8.178564999999999	36.39223	-6.230321
36.3461	-8.188712	36.47336	-6.240468
36.42723	-8.158271	36.55449	-6.250615
36.50837	-8.229301	36.63562	-6.2912040000000005
36.5895	-8.280036	36.71675	-6.352087
36.67063	-8.249595000000001	36.79788	-6.412969
36.75176	-8.340919	36.87901	-6.423116
36.83289	-8.259742	36.96014	-6.544882
36.91402	-8.432242	37.04128	-6.595617
36.99515	-8.574302	37.12241	-6.656499999999999
37.07628	-8.554008	37.20354	-6.757971
